"title","year","genre","duration","metacritic","rating","votes","worldwide_gross_income","user_review","critics_review"
"The Last Picture Show",1971,"Drama",118,NA,8.1,29214,29.146131,194,91
"Straw Dogs",1971,"Crime",113,NA,7.5,42664,NA,272,91
"Willy Wonka & the Chocolate Factory",1971,"Family",100,NA,7.8,117133,0.527081,417,89
"Aguirre, the Wrath of God",1972,"Adventure",95,NA,8,35322,0.037041,234,189
"Cabaret",1972,"Drama",124,80,7.9,33951,NA,205,101
"Deliverance",1972,"Adventure",109,NA,7.8,72625,0.004534,409,147
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,"Comedy",88,NA,6.8,28882,18.090065,90,61
"Frenzy",1972,"Thriller",116,NA,7.5,28654,0.004121,229,89
"The Godfather",1972,"Crime",175,100,9.2,1038358,246.120974,3977,253
"High Plains Drifter",1973,"Western",105,NA,7.6,33054,15.70654,211,92
"The Poseidon Adventure",1972,"Action",117,NA,7.1,31045,84.563118,275,89
"Solaris",1972,"Drama",167,90,8.1,47805,0.134788,302,197
"Sleuth",1972,"Mystery",138,NA,8.1,35256,NA,166,60
"American Graffiti",1973,"Comedy",110,NA,7.5,59850,115,296,122
"Badlands",1973,"Crime",94,90,7.9,42455,0.054396,234,140
"The Day of the Jackal",1973,"Crime",143,NA,7.8,27372,NA,218,66
"Don't Look Now",1973,"Drama",110,NA,7.4,31270,0.108,323,226
"Enter the Dragon",1973,"Action",102,NA,7.7,73441,0.040821,308,166
"The Exorcist",1973,"Horror",122,82,8,264509,441.306145,1226,209
"Live and Let Die",1973,"Action",121,NA,6.8,67496,35.377836,303,111
"Magnum Force",1973,"Action",124,NA,7.2,40141,39.768,203,81
"Mean Streets",1973,"Crime",112,NA,7.4,63075,0.041131,287,134
"Papillon",1973,"Biography",151,NA,8.1,89371,53.267,214,74
"Robin Hood",1973,"Animation",83,NA,7.6,73237,NA,176,85
"Serpico",1973,"Biography",130,87,7.8,70810,29.829963,205,116
"Sleeper",1973,"Comedy",89,NA,7.3,31139,18.344729,140,86
"The Sting",1973,"Comedy",129,NA,8.4,157525,156,315,129
"Soylent Green",1973,"Mystery",97,NA,7.1,41099,NA,291,162
"Last Tango in Paris",1972,"Drama",129,77,7.2,33289,36.17929,202,114
"The Wicker Man",1973,"Horror",88,NA,7.6,43176,0.098201,517,171
"Amarcord",1973,"Comedy",123,NA,8,27117,0.196609,121,110
"Blazing Saddles",1974,"Comedy",93,NA,7.8,87456,119.601481,428,101
"Chinatown",1974,"Crime",130,86,8.3,195026,29.225935,540,150
"The Conversation",1974,"Drama",113,86,7.9,69112,4.43218,386,169
"The Godfather: Part II",1974,"Crime",202,80,9.1,700857,48.035783,1030,178
"The Man with the Golden Gun",1974,"Action",125,NA,6.8,66758,20.972,306,100
"Monty Python and the Holy Grail",1975,"Adventure",91,90,8.3,346927,1.938877,778,103
"Murder on the Orient Express",1974,"Mystery",128,NA,7.3,33534,27.658612,222,92
"The Texas Chain Saw Massacre",1974,"Horror",83,75,7.5,87252,30.859,943,256
"The Towering Inferno",1974,"Action",165,NA,6.9,27947,116,232,81
"Young Frankenstein",1974,"Comedy",106,NA,8.1,105384,86.273333,368,122
"Barry Lyndon",1975,"Adventure",185,NA,8.1,91117,0.198992,463,107
"Dog Day Afternoon",1975,"Crime",125,NA,8.1,166283,50,326,88
"Jaws",1975,"Adventure",124,79,8.1,368812,471.961371,1222,309
"Love and Death",1975,"Comedy",85,NA,7.8,25227,20.123742,120,64
"The Man Who Would Be King",1975,"Adventure",129,NA,7.9,34023,0.012678,191,55
"One Flew Over the Cuckoo's Nest",1975,"Drama",133,79,8.7,611021,108.997629,983,175
"The Rocky Horror Picture Show",1975,"Comedy",100,58,7.4,93900,113.135551,553,140
"Sal<U+FFFD>, or the 120 Days of Sodom",1975,"Drama",117,NA,6,34695,0.022017,430,178
"Three Days of the Condor",1975,"Mystery",117,NA,7.5,32344,27.476252,200,117
"All the President's Men",1976,"Drama",138,NA,8,66532,70.6,246,151
"Assault on Precinct 13",1976,"Action",91,NA,7.4,29131,NA,256,207
"Carrie",1976,"Horror",98,NA,7.4,115528,33.8,551,191
"The Enforcer",1976,"Action",96,NA,6.8,29827,46.236,129,68
"Eraserhead",1977,"Fantasy",89,NA,7.4,61778,0.022179,613,175
"The Tenant",1976,"Thriller",126,NA,7.8,25075,1.924733,178,100
